Company,date_updated_suzy,Main Business ,Area of Business Value,Relevance to Core Business,Level of Engagement,TODO Member,TODO Adopter,Linux Foundation (Platinum + Gold),GitHub list https://github.com/collections/open-source-organizations,OSCI Index top 60(as of Feb 2021),Reasoning,GitHub,Note,Response to survey,Survey: What do you consider to be your company's dominant open source investment where there are likely shared dependencies? ,Survey: Want to hear more? ,Emailed to:
SAP,5/7/21,"ERP, support and suscriptions dominate revenue ",software,Beneficial,Contribute,X,X,,,X,"again, very much depends on what product area you talk to at SAP, but I focus here on ERP software and Hana's reliance on Linux ",https://github.com/sap,Yes,,,,ospo@sap.com
Dell,5/7/21,"almost everything, software, services, hardware, cloud. Client Solutions group makes most revenue (hardware, software, peripherals)",software,Beneficial,Co-Leading,X,X,X,,,os investments across many areas means there will be different dimensions depending on product area. Just thinking about relationship with Linux here. ,,,,,,ospo@dell.com
Bank of America,5/7/21,,xaas,Beneficial,Combining,,,,,,"8 LOBs. no public GitHub repos. Deploying private hardware/software cloud to reduce costs while improving scale.  OS use seems more about digital transformation than new/external innovation value creation and capture. OSPO seems to have been founded in 2019, hosted in global security team, indicating os managed as a risk (not surprising they are in highly regulated industry). ",,YBadAddress,,,,
Cloudflare,5/7/21,"web infrastructure and security for apps, services, APIs",xaas,Dependent,Contribute,,,,X,,"much of their biz built on open source (core server platform, db)",https://github.com/cloudflare,,,,,
VA Linux Systems Japan,5/7/21,"VA Linux Systems Japan K.K. provides Linux based solutions and consultancy services such as fault and performance analysis, individually tailored kernel development, and consulting services.",services,Dependent,Contribute,,,,,,Contribute. They will do development work (such as for Kubernetes) on behalf of clients. ,,,,,,
Adobe,5/7/21,subscriptions Creative + Document Cloud ,xaas,Dependent,Contribute,X,X,,X,X,"Call between Creating + Contributing, probably dominantly Contribute ",,,,,,
BlackRock,5/7/21,revenue from investment advisory service + administration. ,xaas,Dependent,Contribute,X,X,X,,,"Alladin Entreprise suite of products = their business and is used internally as well as sold externally. Black Rock Solutions separate LOB. Xaas b/c Alladin is hosted service externally. Director of OS heads Alladin Studio DevOps. Proprietary services rely on many open source components. Technically, BR probably has the funds to likely do all work proprietary but that's so nonsensical that I think it can be called Dependent",,,,,,
Zalando ,5/7/21,"retail platform, providing analytics, logistics, advertising ",xaas,Dependent,Creating,,X,,X,,lots of internal use to support their platform. Good external engagement in many of their projects ,,,,,,
Bloomberg,5/7/21,professional services/terminal is revenue driver. ,software,Dependent,Co-Leading,X,X,,,,"most os focus seems infrastructure focus, but terminal relies on chromium and they fund Igalia to work on Chromium (Igalias was 2nd in volume contributor a few years ago). Their survey response was software/dependent/co-leading (interesting as I thought they would be dominantly Contribute)",https://github.com/bloomberg,Yes,Input from survey response ,the Python community,yes ,
Blockstream,5/7/21,"os hardware wallet for Bitcoin + Liquid, os software wallet, os blockchain platform. Revenue from enterprise + transaction fees ",xaas,Dependent,Creating,,,,,,"Calling this Dependent, couldn't exist w/o, although the value is also Accelerant. OS across their work. e.g.they osd their iOS Aqua wallet and are encouraging a developer network around this, but I don't see a lot of investment in ecosystem development, so calling this Creating at this point. ",,,,,,
Gilt,5/7/21,"online shopping, flash sales platform",xaas,Dependent,Combining,,,,X,,"they've forked a good amount of projects and publish their own on GitHub (private members). ML powered recommendations, image matching. Open sourced their iOS and AppleTV os app but no contributions for some years.... not sure what's fresh there now. Doesn't seem to be a strategic focus on open source? Not a lot of fresh public info. From this I'm guessing it's a Combining engagement approach. ",https://github.com/gilt,,,,,
Walmart Labs ,5/7/21,new tech dev for retail   ,xaas,Dependent,Co-Leading,X,X,,,,"use in improving supply chain; internal code reuse efficiencies; very impt to hiring. Looking specifically here at Electrode, a key project they lead. ",https://github.com/walmartlabs,,,,,opensource@walmartlabs.com
Cisco Systems,5/7/21,"networking hardware, software, telco equipment. Infrastructure platforms brings in most revenue. ",software,Dependent,Co-Leading,,X,,,X,"I think it's more accurate to say business value is software, not hardware, as the os software is driving the value created/captured in hardware and Cisco also relies so much on os in their software-based offerings too. But I'm unsure if ultimately the most revenue comes from the hardware (not sure how Infrastructure Platform breaks down hardware/software/xaas)",https://github.com/cisco-open-source,,,,,
Change Healthcare,5/7/21,"network, tech services, analytics + software for payers/insurance and providers. software + analytics drives most revenue. ",software,Dependent,Contribute,X,X,,,,"working with Hyperledger for smart contracts, financial supporting member. Bringing in AI to first look at claims and predict accuracy of code usage, and there's an open source based Big Data Analytics Platform (Spark, Hadoop, etc) ",,,,,,
here,5/7/21,"location data, services and platform (maj owned by auto consortium)",software,Dependent,Combining,X,X,,,,"os much of infra for working w/ their APIs, map rendering engine, some support bits for their SDK. Runs on open source embedded operating systems. Taking a look at their overall set of products here. Best guess is that they're Dependent from this high level view. ",https://github.com/heremaps,,,,,
Apple,5/7/21,"iPhones (hardware) are dominant revenue source, but business value most captured in software",software,Dependent,Co-Leading,,X,,,X,"Many aspect of Apple's open source investment are also Promotional (WebKit, Swift), at the core its Dependent (iOS kernel, OS X/UNIX)",,,,,,
Bosch,5/7/21,IoT ,software,Dependent,Co-Leading,X,X,,,X,innersource + external. Looked at this from angle of IOT software.  ,,Yes,,,,
MSFT ,5/7/21,"Intelligent Cloud line now dominants revenue (server, cloud, hybrid, GitHub, professional services) ",xaas,Dependent,Co-Leading,X,X,X,X,X,"one of largest contributors to open source (# employess and volume of contribution).  Numerous leadership roles, GitHub closed source business based on open source. Their platform strategy would not work without open source, although some specific products within this strategy use open source more as an accelerant, so I'm calling this Dependent  ",,,,,,
Two Sigma,5/7/21,hedge fund with a separate LLC to manage their public open source projects ,xaas,Dependent,Contribute,,X,,,,"open source a lot of their data-focused tools, contribute to big data related efforts (Mesos, Jupyter as well as Git, sponsore NumFocus/open science tools) ",https://github.com/twosigma,,,,,
ESRI,5/7/21,"GIS software, mgmt ",software,Dependent,Contribute,,X,,X,X,"ARC Gis platform and ancillary products include lots of open source (see published list w/ license info; GDAL); publish components, libraries, models, scripts, APIs (e.g. for OpenStreetMap), SDKs and more (e.g. Story Map App) on GitHub to promote integration and use of products, some of these w/ investment in fostering contribution and community. Hard to quickly determine if co-leading or contributing, and will depend on if you look to a specific product area, but likely overall contributing by volume and investment level ",https://github.com/esri,,,,,
Eleme,5/7/21,food delivery service platform ,xaas,Dependent,Combining,,,,X,,"hard to glean for me but their platform is clearly reliant upon open source and they've os'd much of their application. GitHub membership is private, so it's hard to see if there are non-Eleme developers involved, but I suspect this is mainly just Eleme. Calling this as Combining. ",https://github.com/eleme/eleme.github.io,,,,,
Box,5/7/21,"file sharing, cloud mgmt",xaas,Dependent,Contribute,X,X,,,,"core dependency on MySQL; also Spark, Hive",https://github.com/box,Yes,,,,
Shopify,5/7/21,"ecommerce platform, w/ related app store, POS",xaas,Dependent,Creating,,,,X,X,"xaas at scale, couldn't feasibly exist w/o os. Os various components to help developers build to their platform. 31 in OSCI Index. Would have to do a volume analysis of contributions to understand if more Creating or Contributing, but feel like more Creating",https://github.com/Shopify,,,,,
Artsy,5/7/21,"ecommerce for art buying/auctions/selling, art genome project for discovering art. Main OS product/tech investments are React, TypeScript, React Native
",software,Dependent,Contribute,,,,X,,Their survey response was Dependent/Contribute.,https://github.com/artsy,YBadAddress,Input from survey response,"React, TypeScript, React Native",yes,
NetApp,5/7/21,"data mgmt + storage, cloud. most revenue from direct product sales/licensing ",hardware,Dependent,Contribute,X,X,,,,"proprietary ONTP relies upon BSD Unix, so called this Dependent. Cloud work incorporates a lot of open source and they publish from this area too: Python libraries, forked Kubernetes, etc. Couldn't figure out their contribution to freeBSD, but would expect they do a good amount as its a key upstream component. Business Value could be hardware, software or xaas, but calling this hardware. ",https://github.com/netapp/,,,,,
Scania ,5/7/21,"commercial vehicle and engine mfg, connected services (e.g reporting, diagnostics); financing, insurance, rentals",xaas,Dependent,Combining,X,X,,,,"ospo reports to infrastructure services. digital design system for common function/look and feel os. license compliance in supply chain impt. embedded software, services. Categorization will depend on with whom you connect -- traditional IT infra perspective or embedded software/IOT/services. Dependent there - but it's also a big accelerant. Reported 80-95% new software and services include open source. I couldn't easily find indications of their level of contribution to projects, so I'm calling this Combining. ",https://github.com/scania,,,,,
Mozilla ,5/7/21,browser software/search engine toolbar,software,Dependent,Co-Leading,,,,X,X,"browser is main product, with revenue generated through search toolbar partnerships. Mix of Dependent and Direct, but I chose Dependent. ",,,,,,
DiDi Chuxing,5/7/21,"app based transportation and delivery services, tech development ",xaas,Dependent,Contribute,X,X,,X,,"Hard choice between Dependent and Accelerant. Their scale couldn't exist on proprietary software, but they also view os as allowing them to focus on value creation/capture. Don't see them co-managing ",,Yes,,,,opensource@didichuxing.com
Autodesk ,5/7/21,,xaas,Dependent,Contribute,X,X,,,,"revenue through cloud, big recent transition. Dynamo BIM core product and os w/ community (Co-Lead). ",https://autodesk.github.io/,,"Guy says don't bother with Autodesk, OSPO is defunct and you won't get response or interest in this project ",,,
GitHub,5/7/21,,xaas,Dependent,Co-Leading,X,X,,,X,,,,,,,
Guardian,5/7/21,,xaas,Dependent,Creating,,,,X,,"open APIs to current and archive content. Backend in Scala, AWS; ElasticSearch, React.... most infrastructure seems dependent on open source. Have published some os projects that have some uptake, like Grid imagine mgmt. ",https://github.com/guardian,,,,,
Khan Academy,5/7/21,,xaas,Dependent,Creating,X,X,,,,"infrastructure lower costs, hiring interest. Much infra os (server/GO + Google App Engine). They make much of their work os (web app) but don't invest in fostering community around these projects. Surely contribute upstream but aren't a significant player. ",https://github.com/Khan,,,,,
Samsung,5/7/21,,software,Dependent,Creating,X,X,X,,X,"contribute to Linux kernel, web rendering engines, IoT/embedded ",,Yes,Guy Martin said unlikely to participate. OSPO moved back to Korea and not really engaged in things ,,,
Uber ,5/7/21,,xaas,Dependent,Co-Leading,X,X,X,,X,scale + function couldn't exist w/o os. ,https://github.com/uber,Yes,,,,
Wipro ,5/7/21,,expertise,Dependent,Co-Leading,X,X,,,,(determinations here directly from the company) ,,Yes,yes ,outside of employee salaries for OSS developers it would be training programs,yes ,
WSO2,5/7/21,"os-based integration of os + services (API, id). standalone products and cloud. ",xaas,Direct,Co-Leading,,,,,X,"all products os. recent change in distribution means there are two licenses (unsupported/supported). created ballerina os prog language, invest in community around this (leaders) as well as basic product. value from services, consulting, training, etc. Unsure what the right call is regarding main business value. Making best guess as product through xaas ",https://github.com/wso2,,,,,
GitLab ,5/7/21,"open source dev, deployment, and devops; mainly subscription revenue (open core)",xaas,Direct,Co-Leading,,X,,,X,promote several complementary os projects and seem to foster community around these,,,,,,
MongoDB,5/7/21,open core db company. xaas/cloud + softaware.  ,services,Direct,Co-Leading,,,,,X,,,,,,,
SUSE,5/7/21,"linux sales to enterprise, cloud infra, support and services revenue ",software,Direct,Co-Leading,,,,,X,,https://github.com/SUSE,,,,,
Linaro,5/7/21,engineering services around open source + ARM ,services,Direct,Contribute,,,,,X,big contributors embedded Linux,,,,,,
Chef (now owned by Progress Software),5/7/21,devops tools ,xaas,Direct,Co-Leading,,X,,,,"product is OS, value derived through enterprise licensing and servicing. Open sourced products, hosted and managed on GitHub. They still own the tm. Call this as co-leading. ",https://github.com/chef,,,,,
RedHat ,5/7/21,,software,Direct,Co-Leading,X,X,X,X,X,Subscription revenue was 87% in Q12020. key contributor in many projects. Looking at this from enterprise Linux perspective,https://redhatofficial.github.io/#!/main,,,,,
Qualcomm ,5/7/21,semiconductor. open source mainly enablement for related software,software,Promotional,Contribute,X,X,X,,,"I'm considering this to be focused on the Qualcomm Tech subsidiary Qualcomm Innovation Center (chose that angle b/c this is the group most likely to participate in experiment). Most software investments in service of promoting chip sales, which is ultimately the reason behind the creation of this subsidiary. Mix of creating (Code Aurora), using and combining here, but I believe the bulk is probably contributing for things like compilers, . ",https://github.com/quic,Yes,,,,
Numenta,5/7/21,"revenue through commercial tech licenses rather than go-to-market products, but all developed tech is open source/AGPL",software,Promotional,Creating,,,,,,"core tech os as well as use case based open source code that serve as reference implementations on GitHub. Promotional: OS drives demand for commercial license. Creating: Publish their code, not fostering much community",https://github.com/numenta,Yes,,,,
JetBrains,5/7/21,IDEs,software,Promotional,Co-Leading,,,,,X,"developed Kotlin prog language under Apache, some bindings and ext on JB's GitHub. Kotlin TM owned by JB + Google foundation, w. both managing. IntelliJ IDE is os w/ commercial license as well, works w/ Kotlin and others. Calling this Promotional, as os investments here are to lead customer to their revenue-generating products (this is taking Accelerant as focusing on *time* aspect, not grabbing market share aspect)",https://github.com/JetBrains,,,,,
SauceLabs,,cloud-based testing,,,,X,X,,,,,https://github.com/saucelabs,YBadAddress,,,,
Google,,advertising. ,,,,X,X,X,X,X,,,,,,,
Facebook ,,advertising,,,,X,X,X,,X,,https://github.com/facebook,,,,,
Accenture Global Services,,,,,,,,X,,X,,,,,,,
Alibaba,,,,,,,X,X,X,X,,,,,,,
Amazon/AWS,,,,,,X,X,,,X,basically sells open source as a service w/ AWS,,Yes,,,,
AMD,,,,,,,,,,X,,,,,,,
ARM ,,,,,,X,X,,,X,,,Yes,,,,
Automattic,,,,,,,,,,X,,,,,,,
Baidu,,,,,,X,X,X,,X,,,YBadAddress,,,,
Canonical,,,,,,,,,,X,,,,,,,
CFBP,,,,,,,,,X,,,https://github.com/cfpb,,,,,
Citrix,,,,,,,,X,,,,,,,,,
Cloudera,,,,,,,,,,X,,,,,,,
Deutsche Bahn ,,,,,,X,X,,,,,https://github.com/topics/deutsche-bahn,,,,,
DigitalOcean ,,,,,,X,X,,,,,https://github.com/digitalocean,,,,,
Docker,,,,,,,,,X,,,https://github.com/docker,,,,,
Dropbox,,,,,,X,X,,,,,,YBadAddress,,,,
EBay,,,,,,X,X,,,,,https://github.com/eBay,,,,,
Elastic ,,,,,,X,X,,,X,,https://github.com/elastic,,,,,
EPAM,,,,,,,,,,X,,https://github.com/epam,,,,,
Ericsson ,,,,,,,X,X,,,,https://github.com/Ericsson,,,,,
Expedia,,,,,,,,,X,,,https://github.com/ExpediaDotCom,,,,,
Fidelity ,,,,,,,,,,,,https://github.com/fidelity (also repos for F Investments and F International),Yes,,,,opensource@fidelity.com
FreddieMac,,,,,,X,X,,,,,,,,,,
Fujitsu,,,,,,,,X,,,,,,,,,
GoDaddy,,,,,,,,,X,,,https://github.com/godaddy,,,,,oss@godaddy.com
Goldman Sachs,,,,,,,X,,,,,https://github.com/goldmansachs,,,,,
HashiCorp,,,,,,,,,,X,,,,,,,
Hitachi,,,,,,,,X,,,leadership role Linux Foundation.,,,,,,
HP Enterprise ,,,,,,X,X,,,X,,,Yes,,,,
Huawei,,,,,,X,,X,,X,leadership role Linux Foundation.,,,,,,
IBM,,,,,,X,X,,X,X,,,,,,,
Indeed,,,,,,X,X,,,,,,,,,,
Intel ,,,,,,X,X,X,,X,numerous leadership roles. ,,,,,,
John Hopkins University ,,,,,,,X,,,,,,,,,,
Juniper,,,,,,X,X,,,,,https://github.com/juniper,,,,,ldo@juniper.net
Kitware,,,,,,,,,,X,,,,,,,
Liferay ,,,,,,,,,,X,,https://github.com/liferay,,,,,
LinkedIn,,,,,,,,,,X,,,,,,,
Morgan Stanley ,,,,,,,X,,,,,https://github.com/Morgan-Stanley,,,,,
National Instruments ,,,,,,X,X,,,,,https://github.com/ni,,,,,opensource@ni.com
NEC,,,,,,,,X,,,,,,,,,
Netflix ,,,,,,X,X,,X,X,,https://github.com/Netflix,Yes,,,,netflixoss@netflix.com
NewRelic,,,,,,,X,,X,X,,https://github.com/newrelic,,,,,
Nokia,,,,,,X,X,,,,,,,,,,
Nordic Semiconductor,,,,,,,,,,X,,,,,,,
Nvidia,,,,,,,,,,X,,,,,,,
NXP,,,,,,,,,,X,,,,,,,
Odoo,,,,,,,,,,X,,,,,,,
Oracle,,,,,,,,X,,X,,,,,,,
OSGeo,,,,,,,,,X,,,https://github.com/OSGeo,,,,,info@osgeo.org
Palo Alto Networks,,,,,,,,,,X,,,,,,,
Panasonic,,,,,,,,X,,,,,,,,,
Pinterest,,,,,,X,X,,,,,https://github.com/pinterest/,Yes,,,,
Pivotal,,,,,,,,,,X,,https://github.com/pivotal,,,,,
Porsche,,,,,,X,,,,,,https://github.com/porscheui ,,,,,
Proyecto26,,,,,,,,,X,,,https://github.com/proyecto26,,,,,
Qingcloud,,,,,,X,X,,,,,https://github.com/QingCloudAppcenter,,,,,
QT,,,,,,,,,,X,,,,,,,
Renesas Electronics Corporation,,,,,,,,X,,,,,,,,,
Rochester Institute of Technology ,,,,,,X,X,,,,,,,,,,
Salesforce,,,,,,X,X,,,X,,https://github.com/salesforce,YBadAddress,,,,osscore@salesforce.com
Seagate,,,,,,X,X,,,,,https://github.com/Seagate,,,,,opensource@seagate.com
Slack,,,,,,,X,,,,,https://github.com/slackhq,,,,,
Sony Group Corp,,,,,,,,X,,,,,,,,,
Splunk ,,,,,,,,,,X,,,,,,,
Spotify ,,,,,,X,X,,,,,https://github.com/spotify,Yes,,,,
Square ,,,,,,X,X,,X,,,,,,,,
Stripe,,,,,,X,X,,X,,,https://github.com/stripe,,,,,
Target,,,,,,X,X,,,,,https://github.com/target,Yes,,,,git@target.com
Tencent ,,,,,,X,X,X,,X,leadership role Linux Foundation.,https://github.com/Tencent,,,,,
ThoughtWorks,,,,,,,,,,X,,,,,,,
Toshiba,,,,,,,,X,,,,,,,,,
Twitter,,,,,,X,X,,X,,,https://github.com/twitter,Yes,,,,
Unity Technologies ,,,,,,,,,,X,,,,,,,
University of Santa Cruz,,,,,,,X,,,,,,,,,,
US Bank,,,,,,,X,,,,,https://github.com/usbank,Yes,,,,
VMWare ,,,,,,X,X,X,,X,,https://github.com/vmware,Yes,,,,
WeBank,,,,,,,,X,,,,,,,,,
Western Digital ,,,,,,X,X,,,,,https://github.com/westerndigitalcorporation,,,,,
Wikimedia ,,,,,,,,,X,,,https://github.com/wikimedia,,,,,
Wix,,,,,,,,,,X,,,,,,,
XILinx,,,,,,X,X,,,,,,,,,,
Yandex ,,,,,,,,,,X,,,,,,,
Yelp,,,,,,,,,X,,,,,,,,
